video_id,publish_ts,title,thumbnail_def,thumbnail_mq,thumbnail_hq,channel_title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,thumbnail_location
_LWjaAiKaf8,2019-06-09T02:43:52Z,Matplotlib Tutorial (Part 8): Plotting Time Series Data,https://i.ytimg.com/vi/_LWjaAiKaf8/default.jpg,https://i.ytimg.com/vi/_LWjaAiKaf8/mqdefault.jpg,https://i.ytimg.com/vi/_LWjaAiKaf8/hqdefault.jpg,Corey Schafer,104776,2173,13,0,78,./thumbnails/_LWjaAiKaf8.jpg
zZZ_RCwp49g,2019-06-09T02:43:44Z,Matplotlib Tutorial (Part 7): Scatter Plots,https://i.ytimg.com/vi/zZZ_RCwp49g/default.jpg,https://i.ytimg.com/vi/zZZ_RCwp49g/mqdefault.jpg,https://i.ytimg.com/vi/zZZ_RCwp49g/hqdefault.jpg,Corey Schafer,92665,2381,13,0,101,./thumbnails/zZZ_RCwp49g.jpg
XDv6T4a0RNc,2019-06-09T02:43:37Z,Matplotlib Tutorial (Part 6): Histograms,https://i.ytimg.com/vi/XDv6T4a0RNc/default.jpg,https://i.ytimg.com/vi/XDv6T4a0RNc/mqdefault.jpg,https://i.ytimg.com/vi/XDv6T4a0RNc/hqdefault.jpg,Corey Schafer,97066,2401,12,0,96,./thumbnails/XDv6T4a0RNc.jpg
x0Uguu7gqgk,2019-06-09T02:43:29Z,Matplotlib Tutorial (Part 5): Filling Area on Line Plots,https://i.ytimg.com/vi/x0Uguu7gqgk/default.jpg,https://i.ytimg.com/vi/x0Uguu7gqgk/mqdefault.jpg,https://i.ytimg.com/vi/x0Uguu7gqgk/hqdefault.jpg,Corey Schafer,59291,1770,4,0,86,./thumbnails/x0Uguu7gqgk.jpg
xN-Supd4H38,2019-06-09T02:43:22Z,Matplotlib Tutorial (Part 4): Stack Plots,https://i.ytimg.com/vi/xN-Supd4H38/default.jpg,https://i.ytimg.com/vi/xN-Supd4H38/mqdefault.jpg,https://i.ytimg.com/vi/xN-Supd4H38/hqdefault.jpg,Corey Schafer,62669,1767,2,0,63,./thumbnails/xN-Supd4H38.jpg
MPiz50TsyF0,2019-06-09T02:43:12Z,Matplotlib Tutorial (Part 3): Pie Charts,https://i.ytimg.com/vi/MPiz50TsyF0/default.jpg,https://i.ytimg.com/vi/MPiz50TsyF0/mqdefault.jpg,https://i.ytimg.com/vi/MPiz50TsyF0/hqdefault.jpg,Corey Schafer,84193,2276,14,0,71,./thumbnails/MPiz50TsyF0.jpg
nKxLfUrkLE8,2019-06-09T02:43:03Z,Matplotlib Tutorial (Part 2): Bar Charts and Analyzing Data from CSVs,https://i.ytimg.com/vi/nKxLfUrkLE8/default.jpg,https://i.ytimg.com/vi/nKxLfUrkLE8/mqdefault.jpg,https://i.ytimg.com/vi/nKxLfUrkLE8/hqdefault.jpg,Corey Schafer,192846,4222,34,0,283,./thumbnails/nKxLfUrkLE8.jpg
UO98lJQ3QGI,2019-06-09T02:42:56Z,Matplotlib Tutorial (Part 1): Creating and Customizing Our First Plots,https://i.ytimg.com/vi/UO98lJQ3QGI/default.jpg,https://i.ytimg.com/vi/UO98lJQ3QGI/mqdefault.jpg,https://i.ytimg.com/vi/UO98lJQ3QGI/hqdefault.jpg,Corey Schafer,558323,11333,73,0,464,./thumbnails/UO98lJQ3QGI.jpg
-nh9rCzPJ20,2019-05-01T15:04:17Z,Visual Studio Code (Windows) - Setting up a Python Development Environment and Complete Overview,https://i.ytimg.com/vi/-nh9rCzPJ20/default.jpg,https://i.ytimg.com/vi/-nh9rCzPJ20/mqdefault.jpg,https://i.ytimg.com/vi/-nh9rCzPJ20/hqdefault.jpg,Corey Schafer,531508,9212,134,0,452,./thumbnails/-nh9rCzPJ20.jpg
06I63_p-2A4,2019-05-01T14:45:37Z,Visual Studio Code (Mac) - Setting up a Python Development Environment and Complete Overview,https://i.ytimg.com/vi/06I63_p-2A4/default.jpg,https://i.ytimg.com/vi/06I63_p-2A4/mqdefault.jpg,https://i.ytimg.com/vi/06I63_p-2A4/hqdefault.jpg,Corey Schafer,178024,3482,37,0,250,./thumbnails/06I63_p-2A4.jpg
_JGmemuINww,2019-04-24T04:23:17Z,Python Tutorial: Clarifying the Issues with Mutable Default Arguments,https://i.ytimg.com/vi/_JGmemuINww/default.jpg,https://i.ytimg.com/vi/_JGmemuINww/mqdefault.jpg,https://i.ytimg.com/vi/_JGmemuINww/hqdefault.jpg,Corey Schafer,25479,1038,5,0,81,./thumbnails/_JGmemuINww.jpg
zdJEYhA2AZQ,2019-04-22T17:07:34Z,5 Common Python Mistakes and How to Fix Them,https://i.ytimg.com/vi/zdJEYhA2AZQ/default.jpg,https://i.ytimg.com/vi/zdJEYhA2AZQ/mqdefault.jpg,https://i.ytimg.com/vi/zdJEYhA2AZQ/hqdefault.jpg,Corey Schafer,217273,6122,70,0,202,./thumbnails/zdJEYhA2AZQ.jpg
kIdiWut8eD8,2019-04-15T16:56:40Z,How I Setup a New Development Machine - Using Scripts to Automate Installs and Save Time,https://i.ytimg.com/vi/kIdiWut8eD8/default.jpg,https://i.ytimg.com/vi/kIdiWut8eD8/mqdefault.jpg,https://i.ytimg.com/vi/kIdiWut8eD8/hqdefault.jpg,Corey Schafer,43419,1045,18,0,64,./thumbnails/kIdiWut8eD8.jpg
1lxrb_ezP-g,2019-04-09T18:01:14Z,How to Write Python Scripts to Analyze JSON APIs and Sort Results,https://i.ytimg.com/vi/1lxrb_ezP-g/default.jpg,https://i.ytimg.com/vi/1lxrb_ezP-g/mqdefault.jpg,https://i.ytimg.com/vi/1lxrb_ezP-g/hqdefault.jpg,Corey Schafer,102673,2411,12,0,135,./thumbnails/1lxrb_ezP-g.jpg
SELYgZvAZbU,2019-04-09T15:32:01Z,Homebrew Tutorial: Simplify Software Installation on Mac Using This Package Manager,https://i.ytimg.com/vi/SELYgZvAZbU/default.jpg,https://i.ytimg.com/vi/SELYgZvAZbU/mqdefault.jpg,https://i.ytimg.com/vi/SELYgZvAZbU/hqdefault.jpg,Corey Schafer,115808,2444,22,0,129,./thumbnails/SELYgZvAZbU.jpg
APOPm01BVrk,2019-04-02T14:43:24Z,Python Tutorial: VENV (Windows) - How to Use Virtual Environments with the Built-In venv Module,https://i.ytimg.com/vi/APOPm01BVrk/default.jpg,https://i.ytimg.com/vi/APOPm01BVrk/mqdefault.jpg,https://i.ytimg.com/vi/APOPm01BVrk/hqdefault.jpg,Corey Schafer,311422,7666,67,0,423,./thumbnails/APOPm01BVrk.jpg
Kg1Yvry_Ydk,2019-04-02T14:43:15Z,Python Tutorial: VENV (Mac & Linux) - How to Use Virtual Environments with the Built-In venv Module,https://i.ytimg.com/vi/Kg1Yvry_Ydk/default.jpg,https://i.ytimg.com/vi/Kg1Yvry_Ydk/mqdefault.jpg,https://i.ytimg.com/vi/Kg1Yvry_Ydk/hqdefault.jpg,Corey Schafer,132968,4450,25,0,172,./thumbnails/Kg1Yvry_Ydk.jpg
C-gEQdGVXbk,2019-03-25T16:45:06Z,10 Python Tips and Tricks For Writing Better Code,https://i.ytimg.com/vi/C-gEQdGVXbk/default.jpg,https://i.ytimg.com/vi/C-gEQdGVXbk/mqdefault.jpg,https://i.ytimg.com/vi/C-gEQdGVXbk/hqdefault.jpg,Corey Schafer,1064052,32748,295,0,920,./thumbnails/C-gEQdGVXbk.jpg
JRCJ6RtE3xU,2019-03-18T14:55:41Z,"How to Send Emails Using Python - Plain Text, Adding Attachments, HTML Emails, and More",https://i.ytimg.com/vi/JRCJ6RtE3xU/default.jpg,https://i.ytimg.com/vi/JRCJ6RtE3xU/mqdefault.jpg,https://i.ytimg.com/vi/JRCJ6RtE3xU/hqdefault.jpg,Corey Schafer,302494,7154,76,0,628,./thumbnails/JRCJ6RtE3xU.jpg
